"Macrophage"	"normal"	"unlabeled"	"malignant"	"T-cell"	"B-cell"	"NK"	"Endothelial"	"CAF"
"Macrophage"	3.10068840553588e-18	3.96954527491766e-07	2.94239067702743e-15	1	0.00294230673441664	1	1.22941393597557e-07	2.03847986229997e-18	0.771957229008095
"normal"	3.96954527491766e-07	1	1	1	0.781075719397247	1	5.1802728773444e-07	0.0127347495700224	1
"unlabeled"	2.94239067702743e-15	1	1	1	1	1	1.37682390218281e-25	1	9.86948154727615e-28
"malignant"	1	1	1	1	1	1	1	1	1
"T-cell"	0.00294230673441664	0.781075719397247	1	1	1	1	7.46734344021599e-21	1	2.05225605050897e-06
"B-cell"	1	1	1	1	1	1	1	0.00938445972104556	3.90915740372156e-12
"NK"	1.22941393597557e-07	5.1802728773444e-07	1.37682390218281e-25	1	7.46734344021599e-21	1	0.0655504902703438	1	0.0465951940104634
"Endothelial"	2.03847986229997e-18	0.0127347495700224	1	1	1	0.00938445972104556	1	0.432719605856433	1
"CAF"	0.771957229008095	1	9.86948154727615e-28	1	2.05225605050897e-06	3.90915740372156e-12	0.0465951940104634	1	2.99440727585637e-06
