"Macrophage"	"normal"	"unlabeled"	"malignant"	"T-cell"	"B-cell"	"NK"	"Endothelial"	"CAF"
"Macrophage"	4.24751836374778e-20	6.01446253775403e-09	4.08665371809365e-17	0.998581706734198	4.98696056680786e-05	0.281078126111875	1.80796167055231e-09	2.7179731497333e-20	0.0157542291634305
"normal"	6.01446253775403e-09	0.95520923109433	0.885193462929975	0.999999999999339	0.016618632327601	0.986015209202784	8.09417637085062e-09	0.000231540901273134	0.0449858428758935
"unlabeled"	4.08665371809365e-17	0.885193462929975	1	1	0.999997331579526	1	1.74281506605419e-27	0.267660241388281	1.2184545120094e-29
"malignant"	0.998581706734198	0.999999999999339	1	1	1	0.999999999999293	0.859651088430956	0.771350930385206	0.693966314566461
"T-cell"	4.98696056680786e-05	0.016618632327601	0.999997331579526	1	0.999999999981491	1	9.69784862365712e-23	0.481375840030954	3.31009040404672e-08
"B-cell"	0.281078126111875	0.986015209202784	1	0.999999999999293	1	0.999951960140069	0.790174233755795	0.000164639644228869	5.58451057674508e-14
"NK"	1.80796167055231e-09	8.09417637085062e-09	1.74281506605419e-27	0.859651088430956	9.69784862365712e-23	0.790174233755795	0.00128530373079106	0.0620647518225043	0.000879154603971007
"Endothelial"	2.7179731497333e-20	0.000231540901273134	0.267660241388281	0.771350930385206	0.481375840030954	0.000164639644228869	0.0620647518225043	0.00865439211712865	0.0989060518022326
"CAF"	0.0157542291634305	0.0449858428758935	1.2184545120094e-29	0.693966314566461	3.31009040404672e-08	5.58451057674508e-14	0.000879154603971007	0.0989060518022326	4.99067879309394e-08
