ID	x	y	z	cluster
human3_lib1.final_cell_0087	-22.207939	-5.704661	4.380038	3.000000
human3_lib1.final_cell_0088	-7.213379	3.091668	1.911233	6.000000
human3_lib1.final_cell_0089	-0.481524	-16.072705	-1.033769	3.000000
human3_lib1.final_cell_0090	12.348029	-24.342607	-5.828260	3.000000
human3_lib1.final_cell_0091	9.734383	7.054293	-6.064950	1.000000
human3_lib1.final_cell_0092	-21.878487	-2.058811	4.813358	3.000000
human3_lib1.final_cell_0093	-31.256557	-1.303610	14.252142	3.000000
human3_lib1.final_cell_0094	5.160763	-26.565980	-2.157374	3.000000
human3_lib1.final_cell_0095	-6.681548	-11.545555	4.049167	3.000000
human3_lib1.final_cell_0096	-18.893708	4.451741	7.673773	3.000000
human3_lib1.final_cell_0097	14.514184	24.367660	-13.674061	3.000000
human3_lib1.final_cell_0098	-10.339289	-10.966623	-4.958272	3.000000
human3_lib1.final_cell_0099	9.739523	-13.063854	0.400640	1.000000
human3_lib1.final_cell_0100	11.553986	-12.907094	7.448633	1.000000
human3_lib1.final_cell_0101	-20.427347	-10.035429	14.374382	3.000000
human3_lib1.final_cell_0102	9.792096	13.963165	-2.835654	1.000000
human3_lib1.final_cell_0103	13.151555	11.498299	-5.893463	1.000000
human3_lib1.final_cell_0104	9.603278	9.115966	-4.660977	1.000000
human3_lib1.final_cell_0105	-15.467777	5.875789	16.011550	3.000000
human3_lib1.final_cell_0106	10.619216	7.189181	-6.640716	1.000000
human3_lib1.final_cell_0107	-7.018582	-5.631474	22.233486	3.000000
human3_lib1.final_cell_0108	-16.963606	12.659575	-8.447206	3.000000
human3_lib1.final_cell_0109	-21.390383	-7.610272	-6.918420	3.000000
human3_lib1.final_cell_0110	10.922341	7.383907	-5.406596	1.000000
human3_lib1.final_cell_0111	-4.127180	4.409835	7.655067	1.000000
human3_lib1.final_cell_0112	-31.837785	-7.277628	-6.271978	3.000000
human3_lib1.final_cell_0113	-23.671508	-7.561176	-14.696281	3.000000
human3_lib1.final_cell_0114	9.853129	7.395958	-5.449391	1.000000
human3_lib1.final_cell_0115	8.695137	10.864866	10.649663	1.000000
human3_lib1.final_cell_0116	-2.292972	-25.304978	-20.447151	3.000000
human3_lib1.final_cell_0117	-10.586755	17.593990	-11.372620	3.000000
human3_lib1.final_cell_0118	-2.305155	2.657928	4.908033	1.000000
human3_lib1.final_cell_0119	-20.711632	-1.604745	12.584247	3.000000
human3_lib1.final_cell_0120	-26.790365	-1.846385	-1.124274	3.000000
human3_lib1.final_cell_0121	-13.655191	0.584736	9.384838	3.000000
human3_lib1.final_cell_0122	14.019231	-11.608591	2.241487	1.000000
human3_lib1.final_cell_0123	-23.293818	-0.158847	6.843587	3.000000
human3_lib1.final_cell_0124	-17.124118	11.564372	23.774045	3.000000
human3_lib1.final_cell_0125	-6.603344	-14.846449	-2.241291	3.000000
human3_lib1.final_cell_0126	17.773798	-0.837995	-3.319971	1.000000
human3_lib1.final_cell_0127	8.700051	0.980982	7.567014	1.000000
human3_lib1.final_cell_0128	11.437975	5.221151	-4.943190	1.000000
human3_lib1.final_cell_0129	-4.166855	7.123238	-6.461609	1.000000
human3_lib1.final_cell_0130	11.337762	8.656951	-6.344545	1.000000
human3_lib1.final_cell_0131	-4.012351	8.727630	-28.623982	3.000000
human3_lib1.final_cell_0132	8.512024	-9.684299	4.426141	1.000000
human3_lib1.final_cell_0133	-8.767809	8.379615	-5.099217	3.000000
human3_lib1.final_cell_0134	12.466673	-1.007598	-6.424513	1.000000
human3_lib1.final_cell_0135	10.602459	-9.584585	7.439773	3.000000
human3_lib1.final_cell_0136	10.346617	11.772375	-5.703642	1.000000
human3_lib1.final_cell_0137	15.959044	-8.512867	-4.159770	1.000000
human3_lib1.final_cell_0138	-17.810264	9.486064	-1.008241	3.000000
human3_lib1.final_cell_0139	12.721510	9.180339	-6.644779	1.000000
human3_lib1.final_cell_0140	14.310096	-5.971545	-3.927019	1.000000
human3_lib1.final_cell_0141	10.834877	8.704263	-6.460877	1.000000
human3_lib1.final_cell_0142	-6.478642	3.811364	0.991793	6.000000
human3_lib1.final_cell_0143	10.443549	-8.247234	4.790622	1.000000
human3_lib1.final_cell_0144	10.655261	10.388443	-0.846078	1.000000
human3_lib1.final_cell_0145	9.502228	7.562811	-6.301831	1.000000
human3_lib1.final_cell_0146	-3.519950	-14.022035	-2.419418	3.000000
human3_lib1.final_cell_0147	11.046392	-7.212930	2.267124	1.000000
human3_lib1.final_cell_0148	11.930977	3.164730	12.012321	1.000000
human3_lib1.final_cell_0149	14.768137	-10.544451	0.170112	1.000000
human3_lib1.final_cell_0150	-7.962895	-2.572238	-18.910330	3.000000
human3_lib1.final_cell_0151	8.831220	-7.017003	4.174076	1.000000
human3_lib1.final_cell_0152	0.063570	19.767464	3.371154	1.000000
human3_lib1.final_cell_0153	-4.082053	2.371844	5.978128	1.000000
human3_lib1.final_cell_0154	12.775870	-5.430426	5.356578	1.000000
human3_lib1.final_cell_0155	-8.988906	-0.900888	8.368740	3.000000
human3_lib1.final_cell_0156	-0.869360	0.387275	11.664443	1.000000
human3_lib1.final_cell_0157	-8.225882	2.739105	0.565196	6.000000
human3_lib1.final_cell_0158	-7.765556	-25.284426	-11.160547	3.000000
human3_lib1.final_cell_0159	10.011404	-7.317562	5.879173	1.000000
human3_lib1.final_cell_0160	-12.732069	3.448297	-4.768043	3.000000
human3_lib1.final_cell_0161	-6.709059	23.077874	-10.945171	3.000000
human3_lib1.final_cell_0162	-16.862613	2.555414	0.223173	3.000000
human3_lib1.final_cell_0163	12.781451	-7.700562	-1.135997	1.000000
human3_lib1.final_cell_0164	15.102134	-6.756623	-1.404727	1.000000
human3_lib1.final_cell_0165	11.398483	8.305920	-6.960207	1.000000
human3_lib1.final_cell_0166	9.762635	-11.353595	7.195922	1.000000
human3_lib1.final_cell_0167	13.794375	-8.197007	-1.872333	1.000000
human3_lib1.final_cell_0168	-9.674504	-3.971572	-12.552674	3.000000
human3_lib1.final_cell_0169	6.427774	-0.293235	13.889435	1.000000
human3_lib1.final_cell_0170	-13.856279	-6.553842	-26.326160	3.000000
human3_lib1.final_cell_0171	-3.224243	1.578175	1.114021	1.000000
human3_lib1.final_cell_0172	-14.659522	3.875577	-3.921924	3.000000
human3_lib1.final_cell_0173	-1.668520	1.816871	14.124809	1.000000
human3_lib1.final_cell_0174	-0.742546	-8.839573	-16.759061	3.000000
human3_lib1.final_cell_0175	18.283922	-9.192294	6.121585	1.000000
human3_lib1.final_cell_0176	7.678378	-2.809673	-1.505136	1.000000
human3_lib1.final_cell_0177	11.774429	14.405404	-7.729256	1.000000
human3_lib1.final_cell_0178	12.328964	-5.832138	1.304863	1.000000
human3_lib1.final_cell_0179	-11.506838	-6.302192	-11.346871	3.000000
human3_lib1.final_cell_0180	10.180608	-9.163614	-0.522314	1.000000
human3_lib1.final_cell_0181	7.231324	-17.560657	-8.181716	3.000000
human3_lib1.final_cell_0182	-4.499632	11.630416	2.195912	1.000000
human3_lib1.final_cell_0183	7.033025	-0.921253	0.278922	1.000000
human3_lib1.final_cell_0184	-2.531819	-0.846788	6.561096	1.000000
human3_lib1.final_cell_0185	-10.223549	-16.982024	7.369570	3.000000
human3_lib1.final_cell_0186	13.197381	12.250876	-0.050279	1.000000
human3_lib1.final_cell_0187	-8.236234	13.635753	0.675671	1.000000
human3_lib1.final_cell_0188	8.769660	8.251762	-4.384490	1.000000
human3_lib1.final_cell_0189	13.001544	-12.778629	-11.607617	1.000000
human3_lib1.final_cell_0190	-28.005044	-0.514584	5.145815	3.000000
human3_lib1.final_cell_0191	4.362933	2.552989	5.136162	1.000000
human3_lib1.final_cell_0192	10.769663	10.443992	-5.332655	1.000000
human3_lib1.final_cell_0193	11.655615	8.691810	-6.637703	1.000000
human3_lib1.final_cell_0194	11.830686	6.440152	-5.530090	1.000000
human3_lib1.final_cell_0195	-6.230101	-15.428798	13.320146	3.000000
human3_lib1.final_cell_0196	-14.764765	-6.048958	-11.087124	3.000000
human3_lib1.final_cell_0197	-10.475295	-8.947952	-13.734796	3.000000
human3_lib1.final_cell_0198	2.567473	19.046690	9.671402	1.000000
human3_lib1.final_cell_0199	8.945977	-7.779315	-0.443911	1.000000
human3_lib1.final_cell_0200	-3.106460	-12.781047	-14.382884	3.000000
human3_lib1.final_cell_0201	-20.169825	-12.203316	-2.968751	3.000000
human3_lib1.final_cell_0202	11.643125	-7.362564	0.426612	1.000000
human3_lib1.final_cell_0203	6.306913	2.963240	3.818194	1.000000
human3_lib1.final_cell_0204	-11.071090	2.783449	-22.079109	3.000000
human3_lib1.final_cell_0205	6.586003	6.074288	7.682943	1.000000
human3_lib1.final_cell_0206	-14.790369	-0.134847	-3.024390	3.000000
human3_lib1.final_cell_0207	-3.871572	3.605946	4.234829	1.000000
human3_lib1.final_cell_0208	9.529009	-14.578294	-5.586937	1.000000
human3_lib1.final_cell_0209	-16.909419	-7.159102	-4.058525	3.000000
human3_lib1.final_cell_0210	12.246374	-5.620531	3.438826	1.000000
human3_lib1.final_cell_0211	-19.371356	-0.303145	-5.638618	3.000000
human3_lib1.final_cell_0212	-32.621512	5.735863	-0.437988	3.000000
human3_lib1.final_cell_0213	8.534942	-12.727786	-4.422071	1.000000
human3_lib1.final_cell_0214	10.447878	-26.860034	5.336541	3.000000
human3_lib1.final_cell_0215	-13.197646	-18.161574	-8.511200	3.000000
human3_lib1.final_cell_0216	11.283816	9.883040	-5.937630	1.000000
human3_lib1.final_cell_0217	11.110237	10.711507	-6.971279	1.000000
human3_lib1.final_cell_0218	7.692562	-11.106738	-3.299539	1.000000
human3_lib1.final_cell_0219	13.736010	-8.090155	2.078936	1.000000
human3_lib1.final_cell_0220	-10.739529	-5.836615	-18.702128	3.000000
human3_lib1.final_cell_0221	8.691848	6.201085	5.916383	1.000000
human3_lib1.final_cell_0222	2.558378	12.967317	4.741571	1.000000
human3_lib1.final_cell_0223	10.376623	12.475709	-3.083246	1.000000
human3_lib1.final_cell_0224	4.731720	-18.379390	1.328278	3.000000
human3_lib1.final_cell_0225	-7.499020	5.684280	-3.199356	3.000000
human3_lib1.final_cell_0226	10.938933	-8.079850	0.254639	1.000000
human3_lib1.final_cell_0227	7.570803	6.647973	9.535977	1.000000
human3_lib1.final_cell_0228	-15.387396	4.806523	8.879639	3.000000
human3_lib1.final_cell_0229	2.160500	5.528713	8.052536	1.000000
human3_lib1.final_cell_0230	-26.661521	-4.085239	-12.875784	3.000000
human3_lib1.final_cell_0231	-8.653408	1.499566	1.569891	6.000000
human3_lib1.final_cell_0232	-2.847685	1.346775	8.922512	1.000000
human3_lib1.final_cell_0233	10.355414	-9.591989	2.630489	1.000000
human3_lib1.final_cell_0234	11.392395	-6.189795	5.772307	1.000000
human3_lib1.final_cell_0235	16.322565	-11.396530	-0.745877	1.000000
human3_lib1.final_cell_0236	4.511672	3.443070	7.081011	1.000000
human3_lib1.final_cell_0237	-4.394027	7.812313	-3.941337	1.000000
human3_lib1.final_cell_0238	10.555069	-21.206495	7.414175	3.000000
human3_lib1.final_cell_0239	-0.736970	5.079464	7.220605	1.000000
human3_lib1.final_cell_0240	11.819885	9.620985	-3.978011	1.000000
human3_lib1.final_cell_0241	7.202348	2.823086	6.830213	1.000000
human3_lib1.final_cell_0242	13.673296	-4.924538	0.815818	1.000000
human3_lib1.final_cell_0243	6.588125	9.841946	-7.913923	1.000000
human3_lib1.final_cell_0244	-15.778215	14.868382	5.629005	3.000000
human3_lib1.final_cell_0245	8.584622	-8.015380	0.535288	1.000000
human3_lib1.final_cell_0246	-16.544542	-9.010073	22.364325	3.000000
human3_lib1.final_cell_0247	4.754685	16.185525	-13.920452	3.000000
human3_lib1.final_cell_0248	13.999056	-9.162738	2.160940	1.000000
human3_lib1.final_cell_0249	8.107920	3.706740	4.211260	1.000000
human3_lib1.final_cell_0250	10.394642	14.032027	-9.555198	1.000000
human3_lib1.final_cell_0251	11.172106	7.268657	-8.296575	1.000000
human3_lib1.final_cell_0252	7.308354	-0.352738	4.620887	1.000000
human3_lib1.final_cell_0253	-2.548450	-26.071033	-13.606842	3.000000
human3_lib1.final_cell_0254	8.328379	1.171698	12.507628	1.000000
human3_lib1.final_cell_0255	19.021652	13.098448	-13.986298	3.000000
human3_lib1.final_cell_0256	17.124264	8.023863	-4.744107	1.000000
human3_lib1.final_cell_0257	11.819317	-5.765698	0.460421	1.000000
human3_lib1.final_cell_0258	5.353113	4.139966	14.344857	1.000000
human3_lib1.final_cell_0259	12.722402	-8.598889	-3.126525	1.000000
human3_lib1.final_cell_0260	9.715677	-12.307942	5.318127	1.000000
human3_lib1.final_cell_0261	7.673700	5.016686	-5.417074	1.000000
human3_lib1.final_cell_0262	-6.843023	4.287953	-1.671165	6.000000
human3_lib1.final_cell_0263	4.170506	8.669218	12.621177	1.000000
human3_lib1.final_cell_0264	-31.740115	13.078623	-0.678181	3.000000
human3_lib1.final_cell_0265	-6.318989	4.656988	-4.573067	3.000000
human3_lib1.final_cell_0266	9.493362	5.225490	-6.497255	1.000000
human3_lib1.final_cell_0267	10.291626	10.942723	14.072166	1.000000
human3_lib1.final_cell_0268	-15.279079	10.942590	-5.902023	3.000000
human3_lib1.final_cell_0269	8.964682	-11.384860	3.359781	1.000000
human3_lib1.final_cell_0270	-14.819798	16.364856	1.726047	3.000000
human3_lib1.final_cell_0271	9.937676	8.853400	-5.822472	1.000000
human3_lib1.final_cell_0272	9.036552	7.987796	-6.356572	1.000000
human3_lib1.final_cell_0273	9.368697	3.668899	9.135856	1.000000
human3_lib1.final_cell_0274	11.606474	5.887247	-6.663749	1.000000
human3_lib1.final_cell_0275	9.541912	-5.548017	-0.012234	1.000000
human3_lib1.final_cell_0276	-5.998519	2.516594	1.704244	6.000000
human3_lib1.final_cell_0277	15.805902	16.769382	-5.146114	1.000000
human3_lib1.final_cell_0278	17.145224	-4.422800	-3.021581	1.000000
human3_lib1.final_cell_0279	-11.493040	-1.790633	-3.878600	3.000000
human3_lib1.final_cell_0280	-1.797603	5.363010	-1.823484	1.000000
human3_lib1.final_cell_0281	-4.980230	5.001468	3.069295	1.000000
human3_lib1.final_cell_0282	-5.408033	-27.698757	3.918071	3.000000
human3_lib1.final_cell_0283	9.675648	-7.421126	1.486857	1.000000
human3_lib1.final_cell_0284	-17.683195	4.569772	1.730102	3.000000
human3_lib1.final_cell_0285	9.472433	1.529429	8.661654	1.000000
human3_lib1.final_cell_0286	5.349981	11.208272	-4.834000	1.000000
human3_lib1.final_cell_0287	14.302411	-10.501626	-8.574830	1.000000
human3_lib1.final_cell_0288	-6.967160	-0.106751	-4.143326	3.000000
human3_lib1.final_cell_0289	-8.613204	7.984939	12.626725	1.000000
human3_lib1.final_cell_0290	17.679497	-8.130974	-0.345296	6.000000
human3_lib1.final_cell_0291	2.908854	3.917343	6.019826	1.000000
human3_lib1.final_cell_0292	-14.994089	3.541463	2.671879	3.000000
human3_lib1.final_cell_0293	3.127970	11.555570	-5.677642	1.000000
